region,candidato,sexo,edad_grupo,poblacion_region,porcentaje_grupo,ingreso_promedio,score,sentimiento,probabilidad,ganador,indecisos
Region_22,Fujimori,F,26-40,1879600,0.1198,753,56.33,0.7,0.6623,1,0.2086
Region_12,Acuña,M,60+,4667500,0.1203,1049,71.87,0.64,0.6437,1,0.4903
Region_10,López Aliaga,M,60+,6387774,0.0602,757,41.27,0.78,0.5892,1,0.4344
Region_9,Mendoza,M,18-25,6895929,0.1075,1212,51.99,0.26,0.4759,0,0.1731
Region_13,Acuña,M,60+,5401020,0.1066,1146,76.5,0.23,0.5322,1,0.3264
Region_19,Acuña,F,18-25,9544220,0.056,919,42.04,0.71,0.5772,1,0.3815
Region_12,Fujimori,F,60+,4302630,0.1104,988,72.49,0.23,0.4856,0,0.4797
Region_4,Fujimori,F,41-60,4493305,0.1151,1141,66.97,0.61,0.6428,1,0.3463
Region_16,Fujimori,M,60+,1521747,0.0667,1079,80.56,0.69,0.7291,1,0.3504
Region_1,Castillo,F,26-40,2855723,0.059,984,45.04,0.21,0.437,0,0.1378
Region_3,Castillo,F,60+,5633177,0.0839,1117,64.8,0.62,0.6576,1,0.2393
Region_11,Acuña,F,60+,4169720,0.1051,1093,68.43,0.55,0.6134,1,0.3927
Region_4,Fujimori,M,41-60,4922263,0.123,889,51.93,0.61,0.5717,1,0.396
Region_3,Castillo,F,18-25,6581565,0.1574,1295,56.0,0.74,0.6678,1,0.2557
Region_12,Acuña,M,41-60,6997323,0.0915,964,87.5,0.77,0.7923,1,0.3294
Region_15,Acuña,M,41-60,4572811,0.122,724,50.64,0.77,0.6271,1,0.4125
Region_7,Acuña,M,26-40,7637433,0.1214,1097,62.08,0.73,0.6933,1,0.2404
Region_18,Mendoza,M,26-40,5208249,0.1627,1191,81.92,0.46,0.6722,1,0.189
Region_9,Fujimori,M,26-40,9705921,0.1167,1216,51.66,0.55,0.5371,1,0.4453
Region_22,Mendoza,M,41-60,7000646,0.1269,916,57.51,0.62,0.6215,1,0.2927
Region_12,López Aliaga,F,26-40,9937682,0.1065,738,52.68,0.44,0.5223,1,0.3286
Region_20,Mendoza,F,18-25,4119144,0.1385,700,51.88,0.44,0.5253,1,0.2911
Region_25,Castillo,F,18-25,6503737,0.1771,1255,67.8,0.39,0.6052,1,0.1174
Region_21,López Aliaga,F,18-25,1223570,0.0598,1231,48.31,0.33,0.4817,0,0.2178
Region_1,Acuña,F,26-40,6767106,0.0559,1170,54.05,0.77,0.6331,1,0.4561
Region_12,Mendoza,M,60+,8149369,0.1341,1047,59.41,0.34,0.5314,1,0.2064
Region_5,Castillo,F,60+,1297562,0.0542,1201,53.99,0.45,0.5264,1,0.3411
Region_16,Acuña,M,26-40,9311010,0.1723,952,60.83,0.55,0.5693,1,0.4677
Region_10,Fujimori,M,18-25,4114692,0.1035,818,78.88,0.49,0.612,1,0.4941
Region_11,Acuña,F,41-60,5801045,0.0583,1160,41.84,0.28,0.4584,0,0.1055
Region_23,Mendoza,M,18-25,3132517,0.1261,1136,76.31,0.65,0.7167,1,0.2511
Region_21,Castillo,F,18-25,4777266,0.1642,1145,77.85,0.23,0.5612,1,0.2075
Region_7,Fujimori,F,26-40,3515514,0.1608,1005,67.6,0.54,0.5949,1,0.4507
Region_25,Castillo,F,41-60,6980142,0.152,906,71.97,0.68,0.6688,1,0.4613
Region_2,Fujimori,F,26-40,7753757,0.1069,1034,85.21,0.41,0.6433,1,0.3056
Region_24,Mendoza,F,41-60,1507689,0.1407,1262,79.82,0.48,0.6222,1,0.4368
Region_17,Mendoza,F,60+,2649396,0.0927,1149,71.67,0.34,0.5982,1,0.1303
Region_25,López Aliaga,F,60+,1872647,0.1405,1059,60.58,0.72,0.6709,1,0.3061
Region_18,Acuña,F,41-60,8557202,0.0949,704,57.38,0.22,0.4533,0,0.3195
Region_5,Castillo,F,26-40,5046049,0.0929,777,56.08,0.26,0.468,0,0.2925
Region_22,López Aliaga,M,60+,5582883,0.061,956,69.86,0.79,0.7332,1,0.3146
Region_24,Fujimori,F,41-60,867661,0.1437,915,43.12,0.29,0.4573,0,0.1532
Region_3,López Aliaga,M,60+,8115436,0.1082,973,66.63,0.35,0.5632,1,0.2077
Region_5,Mendoza,F,41-60,8387768,0.0775,972,56.37,0.27,0.443,0,0.4562
Region_20,Castillo,F,26-40,1267010,0.1148,932,44.35,0.52,0.5193,1,0.3347
Region_8,Castillo,F,41-60,7282532,0.167,1217,70.38,0.35,0.5603,1,0.2993
Region_6,Acuña,M,18-25,1744789,0.0699,976,52.3,0.3,0.4928,0,0.1746
Region_24,Castillo,M,41-60,5412338,0.1034,1242,89.12,0.27,0.6115,1,0.2591
Region_11,Mendoza,M,26-40,1187952,0.144,1203,81.04,0.63,0.7138,1,0.314
Region_19,Acuña,F,18-25,864323,0.1457,924,66.49,0.62,0.6343,1,0.4071
Region_6,Acuña,F,41-60,3683427,0.0567,958,56.83,0.28,0.5145,1,0.1253
Region_12,Fujimori,M,60+,6300545,0.0831,1295,74.08,0.66,0.6911,1,0.3383
Region_24,López Aliaga,F,41-60,1586667,0.1713,1033,89.55,0.32,0.637,1,0.2517
Region_1,Mendoza,F,18-25,2955748,0.1539,969,81.26,0.31,0.6109,1,0.1943
Region_14,Fujimori,F,60+,8617304,0.1562,1101,61.96,0.43,0.5613,1,0.2851
Region_6,Castillo,M,41-60,8290200,0.1669,844,59.19,0.53,0.5547,1,0.4626
Region_19,López Aliaga,F,26-40,4169538,0.145,1090,74.69,0.3,0.5285,1,0.4515
Region_1,Mendoza,F,41-60,7667100,0.1478,1249,75.35,0.67,0.7368,1,0.1573
Region_4,Fujimori,F,18-25,8383354,0.1568,817,45.53,0.71,0.6351,1,0.151
Region_24,Acuña,F,18-25,9314716,0.1032,746,78.59,0.21,0.5294,1,0.3394
Region_4,Mendoza,F,41-60,6697498,0.1575,768,87.95,0.41,0.6758,1,0.1909
Region_23,Fujimori,F,41-60,5127819,0.1262,917,65.29,0.57,0.6665,1,0.1072
Region_11,Mendoza,F,60+,4157679,0.1527,1023,41.15,0.59,0.5192,1,0.4085
Region_9,López Aliaga,M,26-40,4121127,0.1703,996,62.54,0.27,0.4586,0,0.4939
Region_14,Mendoza,F,41-60,1294592,0.0796,1266,70.39,0.43,0.5731,1,0.3977
Region_10,Mendoza,M,18-25,7104680,0.1039,1274,83.18,0.75,0.777,1,0.2863
Region_2,López Aliaga,M,60+,9169066,0.0823,878,68.88,0.3,0.5725,1,0.1136
Region_1,Castillo,M,41-60,1845482,0.0776,855,65.76,0.79,0.7204,1,0.2836
Region_20,Mendoza,M,18-25,4532839,0.0889,1260,55.5,0.44,0.5432,1,0.2707
Region_24,López Aliaga,F,60+,6784684,0.1114,1176,68.24,0.24,0.4867,0,0.4102
Region_15,Fujimori,F,26-40,3459440,0.1146,813,78.27,0.26,0.571,1,0.2337
Region_23,López Aliaga,F,26-40,6011593,0.1031,861,41.27,0.29,0.4053,0,0.3864
Region_8,Castillo,M,41-60,3402967,0.1157,1142,69.75,0.4,0.5749,1,0.3278
Region_19,Castillo,F,41-60,9660935,0.1547,1117,89.44,0.56,0.698,1,0.4227
Region_16,Mendoza,F,18-25,2762165,0.1028,1168,56.2,0.25,0.455,0,0.3533
Region_1,Acuña,M,60+,8307324,0.1336,1247,75.2,0.75,0.7294,1,0.3499
Region_11,Fujimori,M,26-40,2737878,0.0848,818,71.21,0.45,0.5989,1,0.3208
Region_2,Acuña,F,41-60,8921849,0.0682,1063,83.42,0.49,0.6391,1,0.4578
Region_17,Fujimori,M,18-25,3659244,0.0835,980,46.97,0.7,0.5695,1,0.4938
Region_13,Fujimori,M,18-25,1814929,0.0653,827,68.83,0.36,0.5567,1,0.3217
Region_25,Fujimori,F,41-60,5567348,0.0678,1041,85.0,0.72,0.7619,1,0.339
Region_12,Acuña,M,18-25,2300844,0.1044,1100,59.16,0.51,0.6174,1,0.1188
Region_22,López Aliaga,M,41-60,2918324,0.1502,991,43.41,0.7,0.5996,1,0.2749
Region_4,Castillo,M,41-60,5222375,0.1734,926,59.83,0.77,0.7175,1,0.154
Region_24,Castillo,F,60+,4151278,0.0711,847,82.08,0.71,0.715,1,0.4821
Region_11,Fujimori,M,26-40,7590593,0.0948,1200,57.58,0.45,0.533,1,0.382
Region_8,Fujimori,M,41-60,8164386,0.0601,830,40.12,0.78,0.6523,1,0.1021
Region_12,López Aliaga,M,60+,5787696,0.1735,716,62.3,0.31,0.5103,1,0.3168
Region_24,López Aliaga,F,41-60,8847252,0.1356,780,74.61,0.71,0.7423,1,0.1999
Region_25,Mendoza,M,41-60,4298472,0.0551,1237,75.28,0.76,0.7687,1,0.1722
Region_21,Fujimori,M,26-40,9852788,0.0887,1218,86.22,0.78,0.7624,1,0.4777
Region_18,Mendoza,M,41-60,4195049,0.1345,972,58.23,0.54,0.589,1,0.2924
Region_3,Acuña,M,60+,9864630,0.1244,1063,80.2,0.52,0.6571,1,0.3647
Region_13,Fujimori,M,60+,5248748,0.164,1125,60.88,0.48,0.5351,1,0.4961
Region_23,Acuña,M,26-40,7533215,0.0512,738,42.63,0.25,0.4488,0,0.115
Region_12,Castillo,F,60+,8769693,0.1179,1058,76.61,0.2,0.5299,1,0.2869
Region_24,Fujimori,F,26-40,1585332,0.0642,1284,59.58,0.27,0.4517,0,0.4826
Region_5,Acuña,M,41-60,8796198,0.1649,1139,70.04,0.74,0.6779,1,0.4957
Region_7,Mendoza,F,41-60,6493075,0.08,1274,81.53,0.27,0.6113,1,0.1188
Region_25,Fujimori,M,18-25,1826553,0.1574,958,80.04,0.58,0.714,1,0.1865
Region_9,López Aliaga,F,26-40,7646192,0.0838,1272,65.76,0.49,0.5612,1,0.4985
Region_3,López Aliaga,F,18-25,5788023,0.1271,788,69.0,0.25,0.4878,0,0.451
Region_3,López Aliaga,F,18-25,9515912,0.1742,894,83.11,0.69,0.7343,1,0.3621
Region_5,López Aliaga,M,26-40,7649486,0.0838,737,76.17,0.5,0.6772,1,0.1324
Region_16,Acuña,F,18-25,1202732,0.1171,923,85.33,0.54,0.6855,1,0.3648
Region_8,López Aliaga,M,18-25,8226263,0.1629,846,52.26,0.29,0.494,0,0.1642
Region_13,López Aliaga,M,18-25,2530228,0.0638,869,74.95,0.31,0.5347,1,0.4527
Region_13,Fujimori,M,41-60,1509662,0.0507,1234,81.0,0.34,0.5662,1,0.4635
Region_18,Mendoza,F,26-40,4561675,0.0751,994,44.2,0.4,0.4704,0,0.3239
Region_8,Fujimori,F,60+,4763735,0.1514,1064,45.35,0.66,0.5807,1,0.3165
Region_2,Mendoza,F,41-60,4868316,0.1718,977,74.39,0.24,0.5498,1,0.2204
Region_17,Mendoza,F,18-25,1397897,0.1307,721,42.29,0.72,0.5604,1,0.4894
Region_12,Mendoza,M,41-60,3573939,0.0999,1080,43.28,0.69,0.6005,1,0.2487
Region_19,López Aliaga,F,41-60,3334937,0.0856,1181,89.86,0.46,0.6856,1,0.2806
Region_7,Acuña,M,41-60,9474163,0.1505,829,51.5,0.28,0.4281,0,0.4472
Region_12,Mendoza,M,18-25,8352975,0.1017,783,53.71,0.79,0.6783,1,0.2637
Region_6,Fujimori,M,41-60,4817136,0.1232,1223,63.58,0.53,0.6319,1,0.1637
Region_25,Castillo,M,18-25,6444807,0.109,1290,66.52,0.21,0.4666,0,0.4187
Region_12,Acuña,F,60+,8810643,0.1101,1257,40.06,0.56,0.5153,1,0.3429
Region_20,Mendoza,M,26-40,3674299,0.085,1200,79.88,0.39,0.6176,1,0.2821
Region_8,Acuña,F,26-40,8825407,0.1124,1037,70.0,0.37,0.5544,1,0.378
Region_1,Mendoza,F,18-25,3189383,0.1474,913,47.3,0.26,0.4282,0,0.3284
Region_15,Mendoza,F,18-25,5330889,0.0924,941,65.89,0.25,0.5166,1,0.2403
Region_1,Acuña,F,26-40,8454502,0.1771,893,50.04,0.62,0.5608,1,0.4286
Region_10,Mendoza,M,60+,8058746,0.1717,708,42.6,0.52,0.5036,1,0.3836
Region_8,Fujimori,F,26-40,900734,0.1359,706,67.65,0.56,0.6113,1,0.4135
Region_3,Castillo,F,26-40,5555469,0.0821,711,47.98,0.72,0.6436,1,0.1877
Region_23,Mendoza,M,60+,3974108,0.1356,1008,64.91,0.53,0.5954,1,0.3877
Region_22,Acuña,F,60+,9977960,0.1345,758,49.98,0.61,0.6174,1,0.1289
Region_15,Castillo,M,60+,5460061,0.1041,858,82.31,0.58,0.6813,1,0.3941
Region_20,Mendoza,F,26-40,3163999,0.0538,1119,59.78,0.56,0.5968,1,0.3391
Region_4,Fujimori,M,41-60,5243778,0.1106,936,81.8,0.34,0.5817,1,0.4104
Region_4,Fujimori,F,26-40,4650241,0.1037,1074,43.46,0.46,0.531,1,0.139
Region_15,Castillo,F,26-40,7291878,0.1008,844,88.47,0.35,0.6233,1,0.3627
Region_1,Mendoza,F,60+,5400108,0.0805,1002,84.19,0.47,0.6764,1,0.2324
Region_10,Mendoza,F,18-25,5954048,0.0823,832,70.86,0.62,0.6997,1,0.1668
Region_20,Mendoza,M,41-60,9505956,0.1117,903,82.21,0.68,0.7354,1,0.3341
Region_15,Mendoza,M,18-25,1737841,0.0574,1033,66.56,0.76,0.7479,1,0.1157
Region_23,López Aliaga,F,18-25,2008052,0.0911,758,65.36,0.22,0.5196,1,0.1593
Region_21,Fujimori,F,41-60,5239850,0.1737,825,71.96,0.72,0.7197,1,0.2819
Region_15,López Aliaga,F,41-60,5073445,0.0539,850,55.4,0.62,0.6346,1,0.1807
Region_23,Fujimori,M,18-25,2349302,0.0805,1051,88.17,0.35,0.621,1,0.3647
Region_23,Fujimori,M,26-40,8921757,0.0817,813,81.54,0.72,0.7322,1,0.4074
Region_8,Castillo,F,60+,3944480,0.078,700,72.94,0.44,0.5942,1,0.3605
Region_2,Fujimori,F,26-40,8124222,0.1626,1284,89.67,0.65,0.792,1,0.1362
Region_9,López Aliaga,F,26-40,8516220,0.0925,801,73.38,0.68,0.6864,1,0.4049
Region_9,López Aliaga,M,41-60,3687296,0.0886,1043,72.45,0.4,0.5782,1,0.3521
Region_7,Acuña,M,60+,7778140,0.1275,1172,67.28,0.47,0.6346,1,0.1059
Region_11,López Aliaga,F,26-40,9179341,0.1205,702,87.57,0.71,0.7405,1,0.4657
Region_25,Mendoza,M,26-40,9593380,0.112,999,59.72,0.53,0.571,1,0.3988
Region_12,López Aliaga,M,18-25,9737492,0.106,1106,84.84,0.24,0.5401,1,0.4819
Region_4,López Aliaga,M,41-60,8709699,0.0957,840,45.07,0.49,0.5364,1,0.2027
Region_20,López Aliaga,M,41-60,5138843,0.1255,990,44.48,0.63,0.5782,1,0.26
Region_13,Mendoza,F,18-25,7078602,0.1385,962,49.07,0.52,0.5256,1,0.3836
Region_24,Castillo,F,18-25,9344291,0.1129,783,80.3,0.53,0.7098,1,0.1174
Region_10,López Aliaga,M,41-60,6239381,0.117,817,69.68,0.68,0.6775,1,0.3586
Region_24,Fujimori,M,18-25,7610183,0.0959,851,51.84,0.67,0.6327,1,0.2099
Region_19,Mendoza,F,41-60,4821080,0.1497,845,47.49,0.45,0.5394,1,0.1612
Region_17,López Aliaga,F,26-40,1812384,0.0906,1131,51.51,0.32,0.4645,0,0.3552
Region_9,Acuña,M,18-25,3691005,0.0677,1019,74.76,0.44,0.6218,1,0.2713
Region_7,Castillo,M,41-60,6152727,0.0635,1001,76.22,0.55,0.6817,1,0.2097
Region_14,Mendoza,F,18-25,9393059,0.092,772,51.33,0.41,0.545,1,0.1278
Region_17,Mendoza,F,60+,4877716,0.1271,929,74.01,0.34,0.5749,1,0.2827
Region_22,Fujimori,M,60+,8028161,0.1794,908,62.32,0.4,0.5429,1,0.3322
Region_4,Acuña,M,18-25,4801070,0.1197,1010,44.83,0.47,0.4869,0,0.4025
Region_17,Mendoza,F,60+,6798223,0.0805,1241,59.97,0.29,0.457,0,0.497
Region_8,Mendoza,M,18-25,6927764,0.1311,783,44.46,0.65,0.6089,1,0.1511
Region_16,Mendoza,F,60+,8159201,0.0547,1208,55.16,0.36,0.515,1,0.2441
Region_21,Fujimori,M,18-25,9010880,0.0864,879,87.12,0.72,0.8051,1,0.1647
Region_22,López Aliaga,M,26-40,1526331,0.1008,800,65.06,0.44,0.5724,1,0.3159
Region_13,López Aliaga,F,60+,6087913,0.1548,1161,79.5,0.38,0.6447,1,0.1324
Region_21,López Aliaga,F,41-60,4915362,0.1745,1165,68.65,0.76,0.7125,1,0.3301
Region_22,Castillo,F,41-60,4168045,0.1494,1035,48.74,0.5,0.5437,1,0.2595
Region_25,Acuña,M,26-40,8385159,0.0802,1236,44.0,0.67,0.6126,1,0.1488
Region_13,Mendoza,F,18-25,1641531,0.1333,1146,50.8,0.57,0.5599,1,0.3601
Region_19,López Aliaga,M,41-60,2415777,0.0576,1044,89.74,0.23,0.5772,1,0.378
Region_9,López Aliaga,M,41-60,2565524,0.1518,1028,53.27,0.31,0.4604,0,0.3766
Region_1,Mendoza,F,41-60,7114768,0.13,800,55.31,0.57,0.5888,1,0.3108
Region_7,Fujimori,M,18-25,3230525,0.0978,1182,60.71,0.7,0.6427,1,0.3934
Region_22,Acuña,F,41-60,9782913,0.1126,1273,40.96,0.36,0.4254,0,0.4041
Region_24,Acuña,M,18-25,2526676,0.1318,941,49.94,0.24,0.4719,0,0.1171
Region_17,López Aliaga,M,60+,7495306,0.0846,1007,47.46,0.28,0.4112,0,0.4459
Region_16,Mendoza,F,60+,9785826,0.1617,1135,59.62,0.77,0.7173,1,0.1533
Region_17,Castillo,M,18-25,2044289,0.0599,1271,53.97,0.76,0.6789,1,0.2012
Region_8,Acuña,F,41-60,3318970,0.0795,899,84.47,0.47,0.6354,1,0.453
Region_5,Mendoza,M,41-60,3120484,0.0554,707,44.24,0.63,0.6031,1,0.1288
Region_24,López Aliaga,F,18-25,4093331,0.1004,976,63.1,0.79,0.6727,1,0.4883
Region_19,López Aliaga,F,41-60,9281209,0.1215,960,81.53,0.24,0.5687,1,0.2697
Region_15,Mendoza,M,41-60,6103943,0.1312,1059,59.1,0.32,0.536,1,0.1486
Region_4,Castillo,M,18-25,8070518,0.1665,889,56.11,0.28,0.4766,0,0.2897
Region_2,Acuña,M,60+,9301598,0.1301,987,47.83,0.23,0.453,0,0.1443
Region_18,Castillo,M,60+,8981883,0.1707,1113,73.8,0.5,0.6732,1,0.1051
Region_21,López Aliaga,F,60+,3017181,0.16,738,85.95,0.35,0.6039,1,0.402
Region_21,Mendoza,F,41-60,9639765,0.085,934,66.98,0.64,0.694,1,0.1432
Region_21,Mendoza,M,26-40,1284814,0.1593,1106,76.64,0.53,0.6495,1,0.3361
Region_24,López Aliaga,M,26-40,6749852,0.1635,729,71.81,0.66,0.7171,1,0.164
Region_10,Fujimori,F,60+,3313024,0.1646,960,53.9,0.32,0.4517,0,0.4519
Region_2,López Aliaga,M,26-40,1489556,0.1301,1001,49.4,0.41,0.4802,0,0.4135
Region_20,Mendoza,F,26-40,1316409,0.1582,1265,40.55,0.65,0.5414,1,0.4035
Region_20,López Aliaga,F,41-60,9933790,0.164,769,89.82,0.42,0.6718,1,0.2794
Region_20,Fujimori,F,26-40,5542297,0.0502,1168,48.92,0.22,0.4493,0,0.1668
Region_25,Acuña,F,18-25,2965251,0.1335,920,43.24,0.55,0.5272,1,0.3246
Region_4,Fujimori,F,26-40,3304594,0.053,858,56.11,0.58,0.6253,1,0.1596
Region_24,Acuña,F,26-40,7244345,0.1525,816,65.86,0.46,0.6173,1,0.159
Region_23,Castillo,M,18-25,2209854,0.1278,812,76.78,0.8,0.7321,1,0.4732
Region_13,Castillo,M,26-40,1111955,0.0654,746,60.5,0.7,0.6728,1,0.2535
Region_9,Fujimori,F,18-25,4590328,0.0971,1199,56.73,0.22,0.4913,0,0.1097
Region_22,Acuña,F,18-25,8748140,0.1723,1262,52.96,0.46,0.5052,1,0.4491
Region_5,Mendoza,M,18-25,5763401,0.1418,960,71.56,0.23,0.4859,0,0.4616
Region_3,Castillo,F,18-25,4451387,0.0676,1063,77.57,0.59,0.6514,1,0.4826
Region_24,Mendoza,F,26-40,5659221,0.0858,919,53.78,0.67,0.586,1,0.4899
Region_16,Fujimori,M,18-25,1366088,0.0544,927,43.13,0.74,0.6389,1,0.1557
Region_4,Fujimori,M,41-60,2892101,0.0528,1098,73.19,0.78,0.7392,1,0.3241
Region_7,Acuña,F,26-40,4341483,0.145,841,89.06,0.35,0.6255,1,0.3617
Region_5,Castillo,M,41-60,8202324,0.1758,1083,49.15,0.21,0.4043,0,0.388
Region_10,Castillo,M,26-40,9977376,0.1775,1292,51.37,0.44,0.519,1,0.317
Region_7,Castillo,M,26-40,6251973,0.1057,1276,47.05,0.6,0.5903,1,0.1864
Region_10,Fujimori,F,60+,7350091,0.1523,1043,45.6,0.41,0.4496,0,0.4912
Region_19,Castillo,F,60+,4271750,0.0714,976,56.51,0.65,0.6261,1,0.3078
Region_24,Acuña,M,26-40,7085939,0.1087,1080,89.25,0.66,0.8001,1,0.1109
Region_25,López Aliaga,F,60+,1243945,0.0637,926,72.84,0.69,0.7182,1,0.2522
Region_19,Acuña,M,41-60,3555063,0.118,967,54.36,0.68,0.6215,1,0.331
Region_21,Castillo,M,41-60,5213359,0.1193,937,47.9,0.62,0.5551,1,0.4173
Region_7,López Aliaga,M,41-60,4602986,0.1159,739,69.91,0.22,0.5185,1,0.2455
Region_16,López Aliaga,M,60+,8179933,0.0609,1065,84.12,0.68,0.7489,1,0.3021
Region_16,Castillo,M,18-25,6555892,0.1443,1232,56.15,0.8,0.6455,1,0.4919
Region_23,López Aliaga,M,18-25,1039968,0.1435,895,84.51,0.25,0.5586,1,0.3926
Region_9,Mendoza,F,26-40,6698885,0.1487,910,89.4,0.74,0.7818,1,0.3607
Region_9,Acuña,F,26-40,1333634,0.0936,1287,48.69,0.63,0.5596,1,0.4304
Region_1,Acuña,M,60+,2024744,0.1085,1006,77.44,0.59,0.6764,1,0.3484
Region_22,Castillo,M,60+,1094746,0.0664,988,73.81,0.4,0.5784,1,0.3745
Region_15,Castillo,F,60+,5540039,0.0942,890,83.32,0.33,0.6162,1,0.2442
Region_21,López Aliaga,M,18-25,9631924,0.1487,1001,85.18,0.34,0.592,1,0.423
Region_13,Fujimori,M,18-25,1609178,0.072,1106,59.49,0.43,0.5709,1,0.1907
Region_21,López Aliaga,M,26-40,7556350,0.1049,1206,42.1,0.64,0.5325,1,0.4672
Region_23,Castillo,M,26-40,3436722,0.1409,1125,81.97,0.79,0.7738,1,0.3485
Region_9,López Aliaga,F,41-60,6924152,0.1326,1207,62.49,0.33,0.5528,1,0.1481
Region_4,Castillo,F,18-25,3743295,0.0869,1075,81.23,0.24,0.5846,1,0.1905
Region_14,Castillo,F,41-60,3167555,0.1368,1213,69.66,0.74,0.738,1,0.1741
Region_23,Acuña,F,18-25,1375919,0.1258,967,89.77,0.71,0.7827,1,0.3086
Region_5,Mendoza,M,41-60,1201067,0.1683,900,73.46,0.7,0.6826,1,0.4516
Region_1,Acuña,M,41-60,1555111,0.1684,1031,63.22,0.28,0.5186,1,0.2363
Region_20,Acuña,F,60+,8760339,0.1413,1204,51.87,0.51,0.5821,1,0.1417
Region_22,Mendoza,M,41-60,4909803,0.0853,893,63.64,0.79,0.7292,1,0.2076
Region_6,Castillo,F,18-25,3821372,0.0559,961,47.0,0.37,0.4367,0,0.4886
Region_13,Castillo,M,60+,5068173,0.1082,990,63.71,0.55,0.6137,1,0.3148
Region_17,Castillo,F,60+,7522090,0.064,1103,56.94,0.68,0.6346,1,0.3288
Region_10,López Aliaga,F,26-40,2854376,0.0613,1043,70.85,0.27,0.5431,1,0.2381
Region_7,Castillo,M,18-25,8895213,0.1708,1032,48.26,0.43,0.4882,0,0.3919
Region_8,Acuña,M,18-25,4145647,0.1434,1000,87.7,0.63,0.7149,1,0.4452
Region_14,Acuña,M,41-60,7226288,0.0999,1023,62.81,0.42,0.5901,1,0.1484
Region_8,Mendoza,M,18-25,8943179,0.0917,1077,77.49,0.45,0.6173,1,0.3584
Region_10,Fujimori,M,41-60,5250252,0.1153,965,46.94,0.27,0.4632,0,0.1617
Region_3,Mendoza,F,41-60,1270529,0.1194,1086,47.11,0.21,0.4175,0,0.2688
Region_3,López Aliaga,M,41-60,4799694,0.066,1056,67.93,0.41,0.5558,1,0.3917
Region_25,Mendoza,M,26-40,1997162,0.1375,1119,53.77,0.38,0.4855,0,0.4156
